period,keyword,url
초기,임산부 비타민,https://www.coupang.com/vp/products/8151210517?itemId=23197762494&vendorItemId=91767919964&sourceType=srp_product_ads&clickEventId=9bc2c560-3ae9-11f1-a5fd-9b94615ec2b2&korePlacement=15&koreSubPlacement=11&clickEventId=9bc2c560-3ae9-11f1-a5fd-9b94615ec2b2&korePlacement=15&koreSubPlacement=11
초기,임산부 비타민,https://www.coupang.com/vp/products/8960314629?itemId=26217817162&vendorItemId=93196782516&sourceType=srp_product_ads&clickEventId=9bc2c560-3ae9-11f1-b99e-a95920c97a78&korePlacement=15&koreSubPlacement=12&clickEventId=9bc2c560-3ae9-11f1-b99e-a95920c97a78&korePlacement=15&koreSubPlacement=12
초기,임산부 비타민,https://www.coupang.com/vp/products/8654367846?itemId=25123759980&vendorItemId=92123030362&q=%EC%9E%84%EC%82%B0%EB%B6%80%20%EB%B9%84%ED%83%80%EB%AF%BC&searchId=6db1183a5394697&sourceType=search&itemsCount=36&searchRank=13&rank=13
초기,임산부 비타민,https://www.coupang.com/vp/products/9438261804?itemId=28149139908&vendorItemId=93893568098&q=%EC%9E%84%EC%82%B0%EB%B6%80%20%EB%B9%84%ED%83%80%EB%AF%BC&searchId=6db1183a5394697&sourceType=search&itemsCount=36&searchRank=15&rank=15
초기,임산부 비타민,https://www.coupang.com/vp/products/5960455487?itemId=10679047342&vendorItemId=92551152053&q=%EC%9E%84%EC%82%B0%EB%B6%80%20%EB%B9%84%ED%83%80%EB%AF%BC&searchId=6db1183a5394697&sourceType=search&itemsCount=36&searchRank=18&rank=18
초기,임산부 비타민,https://www.coupang.com/vp/products/7735385834?itemId=26690855967&vendorItemId=93662844631&q=%EC%9E%84%EC%82%B0%EB%B6%80%20%EB%B9%84%ED%83%80%EB%AF%BC&searchId=6db1183a5394697&sourceType=search&itemsCount=36&searchRank=19&rank=19
초기,임산부 비타민,https://www.coupang.com/vp/products/9248723164?itemId=27358017541&vendorItemId=94324092327&sourceType=srp_product_ads&clickEventId=9bc2c560-3ae9-11f1-b99f-c123231f4dfd&korePlacement=15&koreSubPlacement=22&clickEventId=9bc2c560-3ae9-11f1-b99f-c123231f4dfd&korePlacement=15&koreSubPlacement=22
초기,입덧 완화,https://www.coupang.com/vp/products/8704833819?itemId=25279848266&vendorItemId=95093824425&sourceType=srp_product_ads&clickEventId=a39b9730-3ae9-11f1-8fac-bb38477c2676&korePlacement=15&koreSubPlacement=1&clickEventId=a39b9730-3ae9-11f1-8fac-bb38477c2676&korePlacement=15&koreSubPlacement=1
초기,입덧 완화,https://www.coupang.com/vp/products/8402741270?itemId=23714920735&vendorItemId=91811415699&q=%EC%9E%85%EB%8D%A7%20%EC%99%84%ED%99%94&searchId=6ff0522a25756363&sourceType=search&itemsCount=36&searchRank=1&rank=1
초기,입덧 완화,https://www.coupang.com/vp/products/42106329?itemId=152938221&vendorItemId=3029625256&q=%EC%9E%85%EB%8D%A7%20%EC%99%84%ED%99%94&searchId=6ff0522a25756363&sourceType=search&itemsCount=36&searchRank=2&rank=2
초기,입덧 완화,https://www.coupang.com/vp/products/8218572164?itemId=23613502869&vendorItemId=74776253007&q=%EC%9E%85%EB%8D%A7%20%EC%99%84%ED%99%94&searchId=6ff0522a25756363&sourceType=search&itemsCount=36&searchRank=3&rank=3
초기,입덧 완화,https://www.coupang.com/vp/products/8935388693?itemId=26074302019&vendorItemId=93055814751&sourceType=srp_product_ads&clickEventId=a39b9730-3ae9-11f1-bf66-c32dbcd42614&korePlacement=15&koreSubPlacement=5&clickEventId=a39b9730-3ae9-11f1-bf66-c32dbcd42614&korePlacement=15&koreSubPlacement=5
